rank,date,author,likes,comments,shares,total_engagement,hook_type,topic,angle,structure,first_line,full_text,url,image_url,is_original_alexis,matched_draft,draft_path
31,2026-01-03,UNKNOWN,18,0,0,18,Contrarian,General,Data/Numbers,Setup → Punchline,Unpopular opinion: 80% of dashboard requests are actually just 'can you answer this one question for me' in disguise.,"Unpopular opinion: 80% of dashboard requests are actually just 'can you answer this one question for me' in disguise. 

We need to normalize saying 'you don't need a dashboard, you need a Slack message.",https://www.linkedin.com/posts/favre-alexis_unpopular-opinion-80-of-dashboard-requests-activity-7413264645810974720-8dg9?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEJkUhcBhZbTboFaaYcPg0ZbPEKZ2-g1EWk,https://media.licdn.com/dms/image/v2/D4E22AQFkV15RFzgRUw/feedshare-shrink_480/B4EZuE06YTIgAY-/0/1767460022712?e=1772668800&v=beta&t=kGA0I8k14ve_LLN0IlO58_M610iIwWPyEyCe355r8fs,True,,
32,2026-01-29,UNKNOWN,13,3,1,17,Teacher,Integration/Data,Data/Numbers,Story → Lesson,It's rare to get operators like this in one room.,"It's rare to get operators like this in one room.
Rarer for them to share what actually worked.

Feb 4th, it's happening.

The SF NetSuite Series: From Silos to AI-Driven Ops

The lineup:

Arvind Jeyakumar — Staff Analytics Engineer at Fellow.

Fellow bootstrapped for 8 years.
Now over $100M in revenue.

Blake Harries — Senior Channel Manager at Orderful.

Orderful is a16z-backed and just launched Mosaic—the first AI-native EDI product that eliminates mapping entirely.

Ruben Burdin — CEO & Co-Founder at Stacksync.

My co-founder. We built real-time, bi-directional sync between NetSuite and everything else.

Three companies.
Three different paths.
One shared obsession: making NetSuite stop being a bottleneck.

Feb 4th | San Francisco | Fellow HQ Offices, 320 Florida Street.

Spots are limited to keep the conversation valuable.
Link to RSVP in comments.

See you there.",https://www.linkedin.com/posts/favre-alexis_its-rare-to-get-operators-like-this-in-one-activity-7422429794979446786-9Fmy?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAGRiZJMBFUHjzYPeIBacpFQyYQ_DUue4DsQ,https://media.licdn.com/dms/image/v2/D4D22AQGoZA5IZqUw2Q/feedshare-shrink_1280/B4DZwHEkRnHEAc-/0/1769645164278?e=1772668800&v=beta&t=G8Xj5HUqghMYTXXnONsDfAHDIpktI-GzQhGKulicG18,True,NetsuiteConnector_Alexis,/Users/TERABYTE10/Downloads/Stacksync/04_linkedin_content/Bangers/drafts/NetsuiteConnector_Alexis.md
33,2025-12-03,UNKNOWN,16,0,0,16,Teacher,Integration/Data,Contrarian/Challenge,Listicle/Breakdown,Kafka's biggest expense isn't on your AWS bill.,"Kafka's biggest expense isn't on your AWS bill.
It's on your org chart.

I've seen teams spin up ""free"" open-source Kafka expecting to save money.
But here's what the TCO actually looks like:
$350K - $1.2M+ per year.
And most of it isn't infrastructure.

Let me break it down:

Networking:
Networking eats 50-90% of your Kafka infrastructure costs.
Why? Cross-AZ traffic.

67% of producer writes hit remote zones
67% of consumer reads hit remote zones
Every replica syncs across zones

At 100/300 MB/s ingress/egress?
That's ~$9,330/month in networking alone.
Just moving bytes.

Humans
Minimum viable Kafka team: 2 engineers.
Fully-loaded cost: $350K-$392K/year.
But that's just to keep the lights on.
At Lyft-scale? 7-10 engineers.
That's $980K-$1.4M in salaries. Before benefits.

Ecosystem
Kafka alone isn't production-ready. You'll need:

Schema Registry (90%+ adoption)
Kafka Connect clusters (90%+ adoption)
GUI monitoring (90%+ adoption)
Stream processing (80-90%)
Geo-replication (80-90%)

Building this in-house?
20,000+ engineering hours.
6-12 months before you ship anything useful.

Nobody budgets for these:
- Over-provisioning (clusters run at 20-25% CPU utilization)
- Downtime costs ($87K/year at just 99% uptime)
- Load balancers, NAT gateways, K8s overhead (+25% to total cost)
- The one engineer who actually understands your configs

Before you kubectl apply that Helm chart:
1/ Calculate the 3-year TCO (not just infra. Include headcount)
2/ Price out managed alternatives honestly
3/ Ask: ""Is Kafka ops our core competency?""

Open-source is free.
Operating it at scale is not.",https://www.linkedin.com/posts/favre-alexis_kafkas-biggest-expense-isnt-on-your-aws-activity-7402076725439778816-Y_3M?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADq6p-kBcdJAYJMzAN8VuZZFUmNBfOSttAI,https://media.licdn.com/dms/image/v2/D4E22AQE0GYJ3xUxJjg/feedshare-shrink_1280/B4EZrl1jgoIoA4-/0/1764792614063?e=1772668800&v=beta&t=nwxLvzX-hZn_mh-svikmHHDEHaAEAGqdz1GB9pvAMoY,True,,
34,2026-01-14,UNKNOWN,14,2,0,16,Teacher,Integration/Data,Origin Story/Narrative,Story → Lesson,"If you've ever watched your Salesforce integration fail at the worst possible moment, you know this feeling.","If you've ever watched your Salesforce integration fail at the worst possible moment, you know this feeling.

Month-end close: big data migration and marketing just uploaded 50,000 contacts.

Then: HTTP 429. 

Rate limit exceeded. Your sync stops. Your data sits in limbo.

You Google the error. The advice? 

""Implement exponential backoff."" 
""Queue your requests."" 
""Batch your operations.""

Translation: make your integration slower.

But the whole point of connecting systems is to move data fast. 

Slowing down isn't a solution. It's a band-aid on an architectural problem.

The real issue: most integrations poll APIs. 

They ask ""what changed?"" over and over. 

When you ask too often, you get throttled.

Stacksync - Integration Cloud works differently. 

We sync your Salesforce data to a Postgres database you control—in real-time. 

Once it's there, you query your database, not Salesforce's API.

No rate limits. No 429s. Read as fast as Postgres allows.

We built this because we got tired of watching that dog sit in the fire. There's a better way.",https://www.linkedin.com/posts/favre-alexis_if-youve-ever-watched-your-salesforce-integration-activity-7417344440463204353-s6d3?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADOaIt0BRjLO-MIVji43gtwC0Bl2KRs6fXo,https://media.licdn.com/dms/image/v2/D4E22AQGC-GHyGpJn2g/feedshare-shrink_20/B4EZu.zdqnHEAM-/0/1768432721023?e=1772668800&v=beta&t=iavyoGHMJbBwKMTo645BXNSKubtIvgMtJ9j5S1ZrUBU,True,,
35,2026-01-04,UNKNOWN,13,2,0,15,Teacher,Engineering/Technical,Origin Story/Narrative,Story → Lesson,Who owns the CRM data pipeline?,"Who owns the CRM data pipeline?

Engineering: ""That's Data's responsibility""
Data: ""Engineering built it, they own it""
IT: ""We just provision the servers""
DevOps: ""We deploy it, we don't maintain it""
Analytics: ""We just consume the data""

Who actually fixes it when it breaks at 3am?

The one engineer who happened to respond to the Slack notification first.
He just put in his two weeks.

Pipelines shouldn't need heroes. They should just work.
(Yes, this is what we solve at Stacksync.)",https://www.linkedin.com/posts/favre-alexis_who-owns-the-crm-data-pipeline-engineering-activity-7413610168539631616-EUKl?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEJkUhcBhZbTboFaaYcPg0ZbPEKZ2-g1EWk,,True,,
36,2026-02-03,UNKNOWN,11,2,0,13,Teacher,Engineering/Technical,Contrarian/Challenge,Story → Lesson,Fred Luddy started ServiceNow at 49.,"Fred Luddy started ServiceNow at 49. 
After losing $35 million to fraud at Peregrine.

His insight after 13 years building IT asset management: Everyone was building ticketing systems. Nobody was building workflow engines.

The difference:

Ticketing system:
•Capture request
•Assign to agent
•Track to resolution
•Report on tickets

Workflow engine:
•Model any business process
•Automate approvals and routing
•Connect to any system
•Extend to any department

ServiceNow's architecture decision: Build the workflow engine first. Ticketing is just one workflow.

Technical implications:

Metadata-driven configuration
Process designer (not code-first)
Integration framework (connect anything)
Extensible data model

The insight: IT help desk was the entry point, not the product.

43x customer expansion (from $100K to $4.3M over 15 years). 
Because the workflow engine could do more. And more. And more.

IT → HR → Customer Service → Finance. 
Same platform. Same architecture. New workflows.",https://www.linkedin.com/posts/favre-alexis_fred-luddy-started-servicenow-at-49-after-activity-7424264227621646336-DGAY?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAGRiZJMBFUHjzYPeIBacpFQyYQ_DUue4DsQ,https://media.licdn.com/dms/image/v2/D4D22AQE0ZbjF-cpwjQ/feedshare-shrink_2048_1536/B4DZwhI.ZXGgAk-/0/1770082527183?e=1772668800&v=beta&t=kWzmOCs3-IUo0Fn9m9y911a_AukDNoxVz7y6L3CcIlI,True,,
37,2025-12-24,UNKNOWN,11,1,0,12,Teacher,Founder Story,Origin Story/Narrative,Setup → Punchline,"Somewhere, a dashboard is being built for this list.","Somewhere, a dashboard is being built for this list. 

Merry Christmas everyone! :) 🎄",https://www.linkedin.com/posts/favre-alexis_somewhere-a-dashboard-is-being-built-for-activity-7409691161986125824-3hAU?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEJkUhcBhZbTboFaaYcPg0ZbPEKZ2-g1EWk,https://media.licdn.com/dms/image/v2/D4E22AQFf_saAhILD0w/feedshare-shrink_1280/B4EZtO1cEtGQAw-/0/1766554190827?e=1772668800&v=beta&t=1Dvs3polfyJ7dRRS8flsboojZG7Ew__coGUQnqwjbkg,True,,
38,2026-02-12,UNKNOWN,8,3,0,11,Teacher,Engineering/Technical,Data/Numbers,Story → Lesson,there are two types of engineers. Builders and maintainers.,"there are two types of engineers. Builders and maintainers. 
the gap between them has nothing to do with talent:

it has everything to do with what they spend their time on.

most engineers learned to code because they wanted to build something. 
ship products. solve hard problems. create things that didn't exist before.

then they join a company, and 30-40% of their week disappears into integration maintenance. 

mapping custom fields, handling rate limits and debugging sync failures

I see this constantly. Smart engineers turning into expensive API babysitters

at Stacksync we ask ourselves one question every ten minutes: what am I working on right now, and is it the highest-impact thing I could be doing?

most integration maintenance fails that test. 

the difference between a team that ships fast and a team that drowns in technical debt has nothing to do with talent. 

It comes down to how much of that talent goes toward the actual product versus the pipes connecting it to other systems.

Your best engineers should be building the thing your customers pay for. 

Not maintaining connections between systems that should just work.

builders or maintainers. 

wich one best describes your team?",https://www.linkedin.com/posts/favre-alexis_there-are-two-types-of-engineers-builders-activity-7427846232783392768-o59T?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7hd2wBBUaoPHH28mEI3rBDqBuRHVW9qnU,https://media.licdn.com/dms/image/v2/D5622AQGpM-V3SRb_AA/feedshare-shrink_1280/B56ZxUCyfaIEAc-/0/1770936543544?e=1772668800&v=beta&t=ceF1yUurgAP7rqbxzyransPCkVQZ-htqYAGrrQPpI34,True,BuilderDivide_Alexis,/Users/TERABYTE10/Downloads/Stacksync/04_linkedin_content/Bangers/drafts/BuilderDivide_Alexis.md
39,2026-01-16,UNKNOWN,11,0,0,11,Teacher,Integration/Data,Origin Story/Narrative,Setup → Punchline,Engineers after their saved search times out for the 47th time today 😵,"Engineers after their saved search times out for the 47th time today 😵 


This is why we built Stacksync. 
Real-time NetSuite sync. Zero timeouts. Your sanity intact.",https://www.linkedin.com/posts/favre-alexis_engineers-after-their-saved-search-times-activity-7418043962097303553-3-2D?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADOaIt0BRjLO-MIVji43gtwC0Bl2KRs6fXo,https://media.licdn.com/dms/image/v2/D4E22AQFHgtpjo8Zh9w/feedshare-shrink_480/B4EZvIvrPtKgAs-/0/1768599500160?e=1772668800&v=beta&t=JaeRUx9r8KvXkOcw8fNiD4cxub-DJ2FDfylkaHTgB3k,True,NetsuiteConnector_Alexis,/Users/TERABYTE10/Downloads/Stacksync/04_linkedin_content/Bangers/drafts/NetsuiteConnector_Alexis.md
40,2026-02-04,UNKNOWN,7,3,0,10,Teacher,Integration/Data,Data/Numbers,Story → Lesson,Most engineers spend their careers,"Most engineers spend their careers 
becoming experts at someone else's API.


Salesforce documentation. 
NetSuite authentication flows. 
HubSpot pagination quirks.

That's not really building. That's maintenance.

I've watched talented engineers lose months to API plumbing. Learning rate limits. Handling batch endpoints. Debugging authentication failures at 2am.

The actual business problem? Maybe 20% of the work. 
The API interface? 80%.

This is backwards.

We built Stacksync to flip that ratio.

Your database table becomes a mirror of your CRM. 
You write SQL. The API calls happen automatically.

Authentication. Rate limiting. Pagination. Conflict resolution. All handled.

An INSERT creates a CRM record. An UPDATE modifies it. A JOIN queries relationships that would take five API calls to fetch.

You describe what you want. Stacksync handles how to get it.
This isn't about making APIs easier. It's about making APIs invisible.

Engineers should spend their time on problems that matter. Not on interfaces that don't.

We've processed over a million records per minute this way. 
The architecture scales. The complexity doesn't.

 That's the difference between building infrastructure and maintaining it.",https://www.linkedin.com/posts/favre-alexis_most-engineers-spend-their-careers-becoming-activity-7424603584517959681-hM2M?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7hd2wBBUaoPHH28mEI3rBDqBuRHVW9qnU,https://media.licdn.com/dms/image/v2/D5622AQFcH1Jl_n56PQ/feedshare-shrink_2048_1536/B56Zwl9ngZHAAk-/0/1770163435716?e=1772668800&v=beta&t=6egTVF3O7IN0w5VyR7k8J0MJ6D4LVbMUp30GkLZL_MY,True,NetsuiteConnector_Alexis,/Users/TERABYTE10/Downloads/Stacksync/04_linkedin_content/Bangers/drafts/NetsuiteConnector_Alexis.md
41,2026-02-07,UNKNOWN,8,1,1,10,Contrarian,Integration/Data,Origin Story/Narrative,Listicle/Breakdown,"Heroku Enterprise sales ended (February 5, 2026)","Heroku Enterprise sales ended (February 5, 2026)
Salesforce just killed it.

Heroku is now in ""maintenance mode"" — no new features, just keeping the lights on.

If you're on Heroku Connect and need to migrate, here's what to know:

- Your existing contract is honored (for now)
- But no new features are coming
- Time to evaluate alternatives

Stacksync does everything Heroku Connect does + more:

✅ True bi-directional sync (not just polling)
✅ Millisecond latency (not 5-minute intervals)
✅ Works with Salesforce, HubSpot, and 200+ connectors
✅ SOC 2, HIPAA, GDPR certified

Questions about migrating? 
Drop them below.",https://www.linkedin.com/posts/favre-alexis_heroku-enterprise-sales-ended-february-5-activity-7425696749928865792-QTwq?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7hd2wBBUaoPHH28mEI3rBDqBuRHVW9qnU,https://media.licdn.com/dms/image/v2/D5622AQEm4dfqt3Q5MQ/feedshare-shrink_1280/B56Zw1f2NvH0Ac-/0/1770424067130?e=1772668800&v=beta&t=z_zL9Tz3J41SA4Q28NDXjZsUB7D06xp7dSz9sVnvwDo,True,NetsuiteConnector_Alexis,/Users/TERABYTE10/Downloads/Stacksync/04_linkedin_content/Bangers/drafts/NetsuiteConnector_Alexis.md
42,2026-01-15,Jennifer Nixon,9,0,0,9,Teacher,Integration/Data,Origin Story/Narrative,Setup → Punchline,There's a reason HubSpot became our most popular connector.,"There's a reason HubSpot became our most popular connector. 
It's the people. 
Appreciate you sharing this Jennifer.",https://www.linkedin.com/posts/favre-alexis_i-met-ruben-burdin-yesterday-and-we-had-a-activity-7417597316091670530-pNNH?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADOaIt0BRjLO-MIVji43gtwC0Bl2KRs6fXo,,True,,
43,2025-12-18,UNKNOWN,7,0,0,7,Teacher,General,Insight/Observation,Setup → Punchline,“Nothing changed except it works now.”,“Nothing changed except it works now.”,https://www.linkedin.com/posts/favre-alexis_nothing-changed-except-it-works-now-activity-7407279663900676097-K9L_?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADq6p-kBcdJAYJMzAN8VuZZFUmNBfOSttAI,https://media.licdn.com/dms/image/v2/D4E22AQGl5UWFgK2PNA/feedshare-shrink_20/B4EZsvxmciKoA0-/0/1766033091037?e=1772668800&v=beta&t=BuNUdtN42i0Z-P23l_D5fZHpt4PnxvcG7xtsf3pBwc8,True,,
44,2026-01-28,UNKNOWN,5,0,0,5,Teacher,Integration/Data,Data/Numbers,Listicle/Breakdown,HubSpot's CRM is free.,"HubSpot's CRM is free. 
Forever. 
For up to 2 users and 1,000 contacts.

This isn't charity. It's architecture.

The technical strategy: CRM is the data foundation. 
Everything else (Marketing Hub, Sales Hub, Service Hub) layers on top.

What the free CRM creates:

• Contact database (unified identity)
• Company records (account hierarchy)
• Deal tracking (revenue pipeline)
• Activity timeline (engagement history)

Why this is technically genius: When you upgrade to any paid hub, your data is already structured. No import. No mapping. No migration.

The CRM is the schema. 
The hubs are the features.

This explains HubSpot's expansion revenue: 
Start with free CRM. 
• Add Marketing Hub (your contacts are already there). 
• Add Sales Hub (your deals are already tracked). 
• Add Service Hub (your customers are already known).

(Worth noting: HubSpot tightened the free tier in late 2024. It used to be 1 million contacts. Now it's 1,000. The on-ramp got smaller, but the architecture remains the same.)

The insight: Data structure should precede feature adoption. 

Give away the structure. 
Charge for the capabilities.",https://www.linkedin.com/posts/favre-alexis_hubspots-crm-is-free-forever-for-up-activity-7422066650486714368-fjhR?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAGRiZJMBFUHjzYPeIBacpFQyYQ_DUue4DsQ,https://media.licdn.com/dms/image/v2/D5622AQFv0pGPdIjaSQ/feedshare-shrink_20/B56ZwB6SgkIQAM-/0/1769558583573?e=1772668800&v=beta&t=-ol9TIIbPhppFAlUG4Cao46ndjrwUXXp_EVnShT_CGw,True,,
45,2026-01-28,Arvind Jeyakumar,4,0,1,5,Teacher,General,Insight/Observation,Setup → Punchline,Really looking forward to this👇,"Really looking forward to this👇

Excited to hear from Arvind Jeyakumar and Blake Harries and connect with everyone building through similar challenges.",https://www.linkedin.com/posts/favre-alexis_a-100m-coffee-brand-an-a16z-backed-edi-activity-7422399680493277184-66-w?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAGRiZJMBFUHjzYPeIBacpFQyYQ_DUue4DsQ,,True,,
46,2026-01-28,UNKNOWN,4,0,0,4,Teacher,General,Origin Story/Narrative,Setup → Punchline,You could stay home and manually map another EDI file.,"You could stay home and manually map another EDI file. 

Or you could drink champagne with the people who killed that problem. 

Your call. Hope to see you there!",https://www.linkedin.com/posts/favre-alexis_the-netsuite-signal-is-lit-over-san-francisco-activity-7422337962048217089-gzqU?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAGRiZJMBFUHjzYPeIBacpFQyYQ_DUue4DsQ,,True,,
47,2025-12-18,UNKNOWN,2,0,1,3,Teacher,Leadership/Culture,Origin Story/Narrative,Setup → Punchline,An amazing product that's saving me precious time everyday!,"An amazing product that's saving me precious time everyday!
Keep the great work team!",https://www.linkedin.com/posts/favre-alexis_were-live-on-product-hunt-willow-is-activity-7407255732892360706-vhbo?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADq6p-kBcdJAYJMzAN8VuZZFUmNBfOSttAI,,True,,
48,2026-01-26,UNKNOWN,1,0,0,1,Teacher,Integration/Data,Origin Story/Narrative,Setup → Punchline,Trying to find the right people,"Trying to find the right people
Tag the best NetSuite operator you know",https://www.linkedin.com/posts/favre-alexis_im-looking-for-the-best-netsuite-practitioners-activity-7421665243493212160-bWit?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAGQIsa8BTZEOVSodjfjP8ce8HxDEw42KDM4,,True,,
49,2026-02-12,UNKNOWN,1,0,0,1,Teacher,Integration/Data,Insight/Observation,Setup → Punchline,Happy to Offer EDI Integrations Now,Happy to Offer EDI Integrations Now,https://www.linkedin.com/posts/favre-alexis_introducing-edi-to-stacksync-onboarding-activity-7427502396274221056-98-D?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7hd2wBBUaoPHH28mEI3rBDqBuRHVW9qnU,,True,,
